"","label","N","n","zeta","ICC","k","bias","postype1"
"1","240, 20K",20000,420.282372162158,0.0294131921181756,0.523721664454822,21.104955156494,1.90242519219579,0.471564443869293
"2","240, 5K",5000,105.070593040539,0.0294131921181756,0.523721664454822,21.104955156494,1.60092837682771,0.32859997673847
"3","80, 100K",1e+05,2315.96044768683,0.0270566856748878,0.77229725232505,15.520500668952,2.13640348835623,0.576377119534969
"4","80, 20K",20000,463.192089537366,0.0270566856748878,0.77229725232505,15.520500668952,1.41662724380105,0.276814510597431
"5","80, 5K",5000,115.798022384342,0.0270566856748878,0.77229725232505,15.520500668952,1.12547163408588,0.181624957772457
