"","model","mean","sdb","sdw","icc"
"1","b",0.0174854989236615,0.153671653497499,0.232829284523559,0.303439037896618
"2","z",0.208327575014081,0.784778133588638,0.685967282376146,0.566882310201164
"3","zadj",5.62097335805908e-15,0.784984117538328,0.627128649241865,0.610407053120163
