"","group","model","z","neg","pos","sig"
"1","age","1",0.00308210091429538,0.019925,0.029675,0.0496
"2","age","2",-0.0146832602362141,0.0199791666666667,0.0266541666666667,0.0466333333333333
"3","age","3",0.586813151255892,0.00452083333333333,0.0978291666666667,0.10235
"4","age","4",0.219376378142635,0.011225,0.0456375,0.0568625
"5","age","5",0.148108645197381,0.0135041666666667,0.0397458333333333,0.05325
"6","age","6",0.0268454491356103,0.0180291666666667,0.0296291666666667,0.0476583333333333
"7","age","7",0.0374275660866781,0.0175583333333333,0.0303333333333333,0.0478916666666667
"8","age","8",0.105938933321276,0.0151625,0.03615,0.0513125
"9","age","9",0.307202277113764,0.00983333333333333,0.0592208333333334,0.0690541666666667
"10","age","10",0.663164509194963,0.00467083333333333,0.1197,0.124370833333333
"11","night","1",0.330695191482259,0.0121666666666667,0.0656066666666667,0.0777733333333333
"12","night","2",0.247968579839979,0.0134533333333333,0.0554466666666667,0.0689
"13","night","3",0.156127556236638,0.0155433333333333,0.04459,0.0601333333333333
"14","night","4",0.334500236223154,0.0124933333333333,0.06617,0.0786633333333333
"15","night","5",0.283398003828335,0.01277,0.06041,0.07318
"16","night","6",0.178069344828849,0.0145466666666667,0.0470233333333333,0.06157
"17","night","7",0.0766048515656798,0.0153466666666667,0.0363666666666667,0.0517133333333333
"18","night","8",0.0592568360961316,0.0112066666666667,0.0360466666666667,0.0472533333333333
"19","subset","1",0.191235286755948,0.0149075,0.0476075,0.062515
"20","subset","2",0.204335954564319,0.01404625,0.05049,0.06453625
"21","subset","3",0.229411483717617,0.01136875,0.056275,0.06764375
"22","mean","all",0.208327575012628,0.0134408333333333,0.0514575,0.0648983333333333
