"","age","incidence100k","incidence100k10y","cancerProb","cancerProb10y","n","sampleProb"
"1",10,0.410804693069543,1.048598427648,4.10804693069543e-06,1.048598427648e-05,52180,0.0121979613648626
"2",11,0.256491636492521,1.00287023445877,2.56491636492521e-06,1.00287023445877e-05,50890,0.0118964019520478
"3",12,0.102178579915498,1.26179825837662,1.02178579915498e-06,1.26179825837662e-05,48649,0.0113725301349023
"4",13,0,1.82538249940156,0,1.82538249940156e-05,48492,0.0113358287179938
"5",14,0,3.10954843055778,0,3.10954843055778e-05,47590,0.0111249708960102
"6",15,0,5.7463357209373,0,5.7463357209373e-05,47892,0.0111955685259869
"7",16,0,9.73574437054014,0,9.73574437054014e-05,48753,0.0113968419015168
"8",17,0,15.0777743793663,0,0.000150777743793663,51433,0.012023337425814
"9",18,0.0643901788201872,21.7724257474157,6.43901788201872e-07,0.000217724257474157,55043,0.0128672362477219
"10",19,0.21473333935025,30.7343923261351,2.1473333935025e-06,0.000307343923261351,59713,0.0139589280755086
"11",20,0.365076499880313,43.7073060669051,3.65076499880313e-06,0.000437073060669051,62395,0.0145858911337792
"12",21,0.515419660410375,60.6911669697256,5.15419660410375e-06,0.000606911669697256,65043,0.0152049061145028
"13",22,0.665762820940438,81.6859750345968,6.65762820940438e-06,0.000816859750345968,66677,0.0155868813707348
"14",23,1.28416593115622,106.691730261519,1.28416593115622e-05,0.00106691730261519,68255,0.0159557656757128
"15",24,2.63678729037952,135.778747065393,2.63678729037952e-05,0.00135778747065393,65582,0.0153309065203223
"16",25,3.98940864960283,168.917331804071,3.98940864960283e-05,0.00168917331804071,64809,0.0151502046396201
"17",26,5.34203000882614,206.107484477551,5.34203000882614e-05,0.00206107484477551,62631,0.0146410601426353
"18",27,6.69465136804945,247.349205085835,6.69465136804945e-05,0.00247349205085835,61849,0.014458254359053
"19",28,9.02635675753956,292.642493628921,9.02635675753956e-05,0.00292642493628921,60426,0.0141256039370101
"20",29,13.1876470801202,343.95674981282,0.000131876470801202,0.0034395674981282,58779,0.0137405897099513
"21",30,17.3489374027009,404.141195483196,0.000173489374027009,0.00404141195483196,57818,0.0135159396357536
"22",31,21.5102277252815,473.195830640047,0.000215102277252815,0.00473195830640047,58314,0.013631888061146
"23",32,25.6715180478622,551.120655283375,0.000256715180478622,0.00551120655283375,58205,0.0136064074595981
"24",33,30.3711827350307,637.915669413179,0.000303711827350307,0.00637915669413179,60080,0.0140447205596195
"25",34,35.7753720290571,734.864541320548,0.000357753720290571,0.00734864541320548,58617,0.0137027194581094
"26",35,41.1795613230834,844.980721752602,0.000411795613230834,0.00844980721752602,57076,0.0133424845316385
"27",36,46.5837506171098,968.264210709341,0.000465837506171098,0.00968264210709341,57808,0.0135136019658869
"28",37,51.9879399111361,1104.71500819076,0.000519879399111361,0.0110471500819076,58812,0.0137483040205117
"29",38,60.3406129414385,1254.33311419687,0.000603406129414385,0.0125433311419687,61303,0.0143306175843268
"30",39,73.3720927504954,1409.40739516414,0.000733720927504954,0.0140940739516414,64028,0.0149676326230246
"31",40,86.4035725595523,1557.90325332611,0.000864035725595523,0.0155790325332611,63266,0.0147895021791758
"32",41,99.4350523686091,1699.82068868276,0.000994350523686091,0.0169982068868276,64348,0.0150424380587615
"33",42,112.466532177666,1835.15970123411,0.00112466532177666,0.0183515970123411,64301,0.0150314510103877
"34",43,127.3200546424,1963.92029098015,0.001273200546424,0.0196392029098015,62909,0.0147060473649318
"35",44,145.891552461111,2084.43538430197,0.00145891552461111,0.0208443538430197,61686,0.0144201503402245
"36",45,164.463050279822,2193.28135788538,0.00164463050279822,0.0219328135788538,64499,0.0150777368737499
"37",46,183.034548098532,2290.45821173038,0.00183034548098533,0.0229045821173038,67194,0.0157077389028474
"38",47,201.606045917243,2375.96594583698,0.00201606045917243,0.0237596594583698,67673,0.0158197132894662
"39",48,215.414893908711,2449.80456020517,0.00215414893908711,0.0244980456020517,67767,0.0158416873862139
"40",49,221.86795091246,2519.96619854418,0.0022186795091246,0.0251996619854418,67787,0.0158463627259475
"41",50,228.321007916208,2601.48278411076,0.00228321007916208,0.0260148278411076,62710,0.0146595277345828
"42",51,234.774064919957,2694.3543169049,0.00234774064919957,0.026943543169049,60144,0.0140596816467669
"43",52,241.227121923705,2798.5807969266,0.00241227121923705,0.027985807969266,58159,0.0135956541782109
"44",53,247.835147964219,2914.16222417587,0.00247835147964219,0.0291416222417587,57698,0.0134878875973523
"45",54,254.737526044522,3038.13832431877,0.00254737526044522,0.0303813832431877,57520,0.0134462770737236
"46",55,261.639904124826,3165.25642291474,0.00261639904124826,0.0316525642291474,57362,0.0134093418898284
"47",56,268.542282205129,3295.5165199638,0.00268542282205129,0.032955165199638,58251,0.0136171607409852
"48",57,275.444660285432,3428.91861546593,0.00275444660285432,0.0342891861546593,57754,0.0135009785486062
"49",58,285.576532247724,3565.46270942113,0.00285576532247724,0.0356546270942113,57287,0.0133918093658276
"50",59,303.384536479036,3697.85220557145,0.00303384536479036,0.0369785220557145,55851,0.0130561199729578
"51",60,321.192540710347,3809.27349010225,0.00321192540710347,0.0380927349010225,56948,0.0133125623573437
"52",61,339.000544941659,3899.72656301354,0.00339000544941659,0.0389972656301354,56463,0.0131991853688048
"53",62,356.808549172971,3969.21142430531,0.00356808549172971,0.0396921142430531,55800,0.0130441978566373
"54",63,371.81124810712,4017.72807397757,0.0037181124810712,0.0401772807397757,57736,0.013496770742846
"55",64,381.8556246405,4044.61793037342,0.003818556246405,0.0404461793037342,59809,0.0139813697062297
